unicode,emoji,cldr,cldr_link
U+1F1E8 U+1F1EC,🇨🇬,flag: Congo - Brazzaville,flag-congo-brazzaville
U+1F1E8 U+1F1ED,🇨🇭,flag: Switzerland,flag-switzerland
U+1F1E8 U+1F1EE,🇨🇮,flag: Côte d’Ivoire,flag-cote-divoire
U+1F1E8 U+1F1F0,🇨🇰,flag: Cook Islands,flag-cook-islands
U+1F1E8 U+1F1F1,🇨🇱,flag: Chile,flag-chile
U+1F1E8 U+1F1F2,🇨🇲,flag: Cameroon,flag-cameroon
U+1F1E8 U+1F1F3,🇨🇳,flag: China,flag-china
U+1F1E8 U+1F1F4,🇨🇴,flag: Colombia,flag-colombia
U+1F1E8 U+1F1F5,🇨🇵,flag: Clipperton Island,flag-clipperton-island
U+1F1E8 U+1F1F7,🇨🇷,flag: Costa Rica,flag-costa-rica
U+1F1E8 U+1F1FA,🇨🇺,flag: Cuba,flag-cuba
U+1F1E8 U+1F1FB,🇨🇻,flag: Cape Verde,flag-cape-verde
U+1F1E8 U+1F1FC,🇨🇼,flag: Curaçao,flag-curacao
U+1F1E8 U+1F1FD,🇨🇽,flag: Christmas Island,flag-christmas-island
U+1F1E8 U+1F1FE,🇨🇾,flag: Cyprus,flag-cyprus
U+1F1E8 U+1F1FF,🇨🇿,flag: Czechia,flag-czechia
U+1F1E9 U+1F1EA,🇩🇪,flag: Germany,flag-germany
U+1F1E9 U+1F1EC,🇩🇬,flag: Diego Garcia,flag-diego-garcia
U+1F1E9 U+1F1EF,🇩🇯,flag: Djibouti,flag-djibouti
U+1F1E9 U+1F1F0,🇩🇰,flag: Denmark,flag-denmark
U+1F1E9 U+1F1F2,🇩🇲,flag: Dominica,flag-dominica
U+1F1E9 U+1F1F4,🇩🇴,flag: Dominican Republic,flag-dominican-republic
U+1F1E9 U+1F1FF,🇩🇿,flag: Algeria,flag-algeria
U+1F1EA U+1F1E6,🇪🇦,flag: Ceuta & Melilla,flag-ceuta-melilla
U+1F1EA U+1F1E8,🇪🇨,flag: Ecuador,flag-ecuador
U+1F1EA U+1F1EA,🇪🇪,flag: Estonia,flag-estonia
U+1F1EA U+1F1EC,🇪🇬,flag: Egypt,flag-egypt
U+1F1EA U+1F1ED,🇪🇭,flag: Western Sahara,flag-western-sahara
U+1F1EA U+1F1F7,🇪🇷,flag: Eritrea,flag-eritrea
U+1F1EA U+1F1F8,🇪🇸,flag: Spain,flag-spain
U+1F1EA U+1F1F9,🇪🇹,flag: Ethiopia,flag-ethiopia
U+1F1EA U+1F1FA,🇪🇺,flag: European Union,flag-european-union
U+1F1EB U+1F1EE,🇫🇮,flag: Finland,flag-finland
U+1F1EB U+1F1EF,🇫🇯,flag: Fiji,flag-fiji
